x	y	z	strain	u	v	w
0.000000e+00	1.001001e-01	0.000000e+00	-1.425234e-07	2.310253e-05	3.026592e-06	-1.385987e-03
0.000000e+00	2.002002e-01	0.000000e+00	-9.634393e-08	2.105045e-05	3.018341e-06	-1.263085e-03
0.000000e+00	3.003003e-01	0.000000e+00	2.006358e-07	1.900488e-05	3.016162e-06	-1.140356e-03
0.000000e+00	4.004004e-01	0.000000e+00	1.624310e-07	1.696029e-05	3.015910e-06	-1.017671e-03
0.000000e+00	5.005005e-01	0.000000e+00	1.854219e-07	1.491582e-05	3.015877e-06	-8.949995e-04
0.000000e+00	6.006006e-01	0.000000e+00	-2.009814e-07	1.287093e-05	3.015978e-06	-7.723227e-04
0.000000e+00	7.007007e-01	0.000000e+00	-1.259987e-06	1.082987e-05	3.015908e-06	-6.496665e-04
0.000000e+00	8.008008e-01	0.000000e+00	1.009828e-06	8.784178e-06	3.011385e-06	-5.270388e-04
0.000000e+00	9.009009e-01	0.000000e+00	-5.736758e-07	6.745852e-06	3.006345e-06	-4.045677e-04
5.000000e-02	9.709710e-02	0.000000e+00	-5.226379e-08	2.316149e-05	2.048351e-06	-9.264255e-04
5.000000e-02	1.971972e-01	0.000000e+00	-2.012228e-08	2.111203e-05	2.043865e-06	-8.445211e-04
5.000000e-02	2.972973e-01	0.000000e+00	-4.379269e-09	1.906633e-05	2.042879e-06	-7.627098e-04
5.000000e-02	3.973974e-01	0.000000e+00	-1.233979e-09	1.702163e-05	2.042650e-06	-6.809188e-04
5.000000e-02	4.974975e-01	0.000000e+00	-4.005134e-10	1.497725e-05	2.042598e-06	-5.991327e-04
5.000000e-02	5.975976e-01	0.000000e+00	1.875236e-10	1.293286e-05	2.042556e-06	-5.173480e-04
5.000000e-02	6.976977e-01	0.000000e+00	-4.723697e-09	1.088866e-05	2.042351e-06	-4.355667e-04
5.000000e-02	7.977978e-01	0.000000e+00	-1.647502e-08	8.845315e-06	2.041544e-06	-3.538032e-04
5.000000e-02	8.978979e-01	0.000000e+00	-7.685689e-08	6.805172e-06	2.037539e-06	-2.721208e-04
1.000000e-01	9.049049e-01	0.000000e+00	-8.771335e-08	6.659687e-06	1.019340e-06	-1.331867e-04
1.000000e-01	8.048048e-01	0.000000e+00	-7.114708e-09	8.701461e-06	1.021025e-06	-1.740432e-04
1.000000e-01	7.047047e-01	0.000000e+00	-1.240408e-09	1.074536e-05	1.021332e-06	-2.149327e-04
1.000000e-01	6.046046e-01	0.000000e+00	-6.765269e-11	1.278969e-05	1.021390e-06	-2.558282e-04
1.000000e-01	5.045045e-01	0.000000e+00	-2.614026e-10	1.483409e-05	1.021430e-06	-2.967251e-04
1.000000e-01	4.044044e-01	0.000000e+00	-1.004202e-10	1.687850e-05	1.021434e-06	-3.376230e-04
1.000000e-01	3.043043e-01	0.000000e+00	-9.065539e-10	1.892302e-05	1.021480e-06	-3.785215e-04
1.000000e-01	2.042042e-01	0.000000e+00	-6.386669e-09	2.096795e-05	1.021762e-06	-4.194251e-04
1.000000e-01	1.041041e-01	0.000000e+00	-3.330236e-08	2.301480e-05	1.023434e-06	-4.603607e-04
1.500000e-01	9.309309e-02	0.000000e+00	7.686151e-08	2.323895e-05	2.450203e-10	-8.089728e-08
1.500000e-01	1.931932e-01	0.000000e+00	-3.321746e-11	2.119251e-05	2.310088e-10	-7.154339e-08
1.500000e-01	2.932933e-01	0.000000e+00	1.241630e-10	1.914783e-05	2.285941e-10	-6.275835e-08
1.500000e-01	3.933934e-01	0.000000e+00	1.298800e-10	1.710338e-05	2.416696e-10	-5.366637e-08
1.500000e-01	4.934935e-01	0.000000e+00	-2.308755e-10	1.505895e-05	2.362091e-10	-4.426376e-08
1.500000e-01	5.935936e-01	0.000000e+00	-1.846594e-10	1.301452e-05	2.084150e-10	-3.567392e-08
1.500000e-01	6.936937e-01	0.000000e+00	-5.621351e-11	1.097011e-05	2.012832e-10	-2.780282e-08
1.500000e-01	7.937938e-01	0.000000e+00	-2.688086e-10	8.925859e-06	1.864956e-10	-2.025250e-08
1.500000e-01	8.938939e-01	0.000000e+00	-1.285266e-10	6.882694e-06	1.549097e-10	-1.381166e-08
2.000000e-01	9.089089e-01	0.000000e+00	-6.387669e-08	6.578124e-06	-1.018886e-06	1.315283e-04
2.000000e-01	8.088088e-01	0.000000e+00	6.319544e-09	8.619704e-06	-1.020625e-06	1.723693e-04
2.000000e-01	7.087087e-01	0.000000e+00	1.024480e-09	1.066355e-05	-1.020927e-06	2.132433e-04
2.000000e-01	6.086086e-01	0.000000e+00	3.512256e-11	1.270785e-05	-1.020981e-06	2.541229e-04
2.000000e-01	5.085085e-01	0.000000e+00	4.154645e-12	1.475228e-05	-1.020978e-06	2.950031e-04
2.000000e-01	4.084084e-01	0.000000e+00	1.627506e-10	1.679676e-05	-1.020960e-06	3.358829e-04
2.000000e-01	3.083083e-01	0.000000e+00	7.838232e-10	1.884129e-05	-1.021006e-06	3.767632e-04
2.000000e-01	2.082082e-01	0.000000e+00	5.614491e-09	2.088614e-05	-1.021270e-06	4.176482e-04
2.000000e-01	1.081081e-01	0.000000e+00	3.095161e-08	2.293279e-05	-1.022805e-06	4.585624e-04
2.500000e-01	8.908909e-02	0.000000e+00	2.202849e-07	2.332575e-05	-2.048571e-06	9.328235e-04
2.500000e-01	1.891892e-01	0.000000e+00	2.182908e-08	2.127571e-05	-2.043509e-06	8.509237e-04
2.500000e-01	2.892893e-01	0.000000e+00	4.159570e-09	1.923007e-05	-2.042393e-06	7.691296e-04
2.500000e-01	3.893894e-01	0.000000e+00	1.272872e-09	1.718536e-05	-2.042240e-06	6.873561e-04
2.500000e-01	4.894895e-01	0.000000e+00	1.384246e-10	1.514072e-05	-2.042221e-06	6.055853e-04
2.500000e-01	5.895896e-01	0.000000e+00	7.526817e-10	1.309627e-05	-2.042153e-06	5.238162e-04
2.500000e-01	6.896897e-01	0.000000e+00	2.960594e-09	1.105210e-05	-2.041980e-06	4.420509e-04
2.500000e-01	7.897898e-01	0.000000e+00	1.454845e-08	9.008619e-06	-2.041261e-06	3.603003e-04
2.500000e-01	8.898899e-01	0.000000e+00	6.930628e-08	6.968126e-06	-2.037775e-06	2.786201e-04
3.003003e-02	0.000000e+00	0.000000e+00	2.282744e-08	2.512540e-05	2.476621e-06	-1.207268e-03
6.006006e-02	0.000000e+00	0.000000e+00	4.035850e-07	2.511004e-05	1.850648e-06	-9.049510e-04
9.009009e-02	0.000000e+00	0.000000e+00	-6.956562e-07	2.510458e-05	1.230421e-06	-6.027673e-04
1.201201e-01	0.000000e+00	0.000000e+00	-1.005648e-07	2.510076e-05	6.139246e-07	-3.006581e-04
1.501502e-01	0.000000e+00	0.000000e+00	8.484624e-09	2.510001e-05	-2.486585e-09	1.419845e-06
1.801802e-01	0.000000e+00	0.000000e+00	2.886434e-07	2.510206e-05	-6.182974e-07	3.034976e-04
