sample_id,point_id,x,y,tx,ty,mask,w_pred,kappa_meas,kappa_pred,w_xx,w_xy,w_yy,w_true
5,0,0.0,0.1001001,0.0,1.0,1.0,-0.0006643124,-1.425234e-07,0.016079973,0.03326138,0.0,0.016079973,-0.001385987
5,1,0.0,0.2002002,0.0,1.0,1.0,-0.00039312607,-9.634393e-08,-0.0049371547,-0.113313355,0.0,-0.0049371547,-0.001263085
5,2,0.0,0.3003003,0.0,1.0,1.0,-0.000166868,2.006358e-07,-0.020765958,-0.2860155,0.0,-0.020765958,-0.001140356
5,3,0.0,0.4004004,0.0,1.0,1.0,-0.00013353059,1.62431e-07,-0.019240802,-0.42550534,0.0,-0.019240802,-0.001017671
5,4,0.0,0.5005005,0.0,1.0,1.0,-0.00027966715,1.854219e-07,-0.0024495055,-0.5083289,0.0,-0.0024495055,-0.0008949995
5,5,0.0,0.6006006,0.0,1.0,1.0,-0.00044959044,-2.009814e-07,0.015233117,-0.5505835,0.0,0.015233117,-0.0007723227
5,6,0.0,0.7007007,0.0,1.0,1.0,-0.0004789391,-1.259987e-06,0.019128786,-0.58379006,0.0,0.019128786,-0.0006496665
5,7,0.0,0.8008008,0.0,1.0,1.0,-0.0003312134,1.009828e-06,0.006324416,-0.62493676,0.0,0.006324416,-0.0005270388
5,8,0.0,0.9009009,0.07087395,-0.9974853,1.0,-0.00012503445,-5.736758e-07,-0.015391836,-0.6648283,0.0,-0.012113172,-0.0004045677
5,9,0.05,0.0970971,0.07087395,-0.9974853,1.0,-0.0006052508,-5.226379e-08,0.012765141,0.116430566,-0.041592646,0.0063312547,-0.0009264255
5,10,0.05,0.1971972,0.0,1.0,1.0,-0.0004951291,-2.012228e-08,-0.0072328676,0.06566173,-0.06504163,-0.0072328676,-0.0008445211
5,11,0.05,0.2972973,0.0,1.0,1.0,-0.0004536685,-4.379269e-09,-0.016418707,0.010683887,-0.06142214,-0.016418707,-0.0007627098
5,12,0.05,0.3973974,0.0,1.0,1.0,-0.0005654342,-1.233979e-09,-0.012681647,-0.023186583,-0.03964758,-0.012681647,-0.0006809188
5,13,0.05,0.4974975,0.0,1.0,1.0,-0.00079484703,-4.005134e-10,0.0018289776,-0.026914319,-0.017094078,0.0018289776,-0.0005991327
5,14,0.05,0.5975976,0.0,1.0,1.0,-0.0010063774,1.875236e-10,0.015809985,-0.009964749,-0.006548088,0.015809985,-0.000517348
5,15,0.05,0.6976977,0.0,1.0,1.0,-0.001069759,-4.723697e-09,0.0180167,0.010085048,-0.008260997,0.0180167,-0.0004355667
5,16,0.05,0.7977978,0.0,1.0,1.0,-0.0009645268,-1.647502e-08,0.006572308,0.021198,-0.012634805,0.006572308,-0.0003538032
5,17,0.05,0.8978979,0.42300138,0.90612906,1.0,-0.0007973395,-7.685689e-08,-0.011394073,0.023066582,-0.010247131,-0.009336667,-0.0002721208
5,18,0.1,0.9049049,0.47316745,-0.8809725,1.0,-0.0014017242,-8.771335e-08,0.15421881,0.6998424,-0.0043272544,-0.007827121,-0.0001331867
5,19,0.1,0.8048048,0.0,-1.0,1.0,-0.0015257522,-7.114708e-09,0.0030629702,0.68530405,-0.0007562083,0.0030629702,-0.0001740432
5,20,0.1,0.7047047,0.0,-1.0,1.0,-0.0016195287,-1.240408e-09,0.013467536,0.6560355,0.010633061,0.013467536,-0.0002149327
5,21,0.1,0.6046046,0.0,-1.0,1.0,-0.0015843296,-6.765269e-11,0.016992263,0.60617787,0.01913796,0.016992263,-0.0002558282
5,22,0.1,0.5045045,0.0,-1.0,1.0,-0.0013861409,-2.614026e-10,0.01209389,0.53117776,0.012647776,0.01209389,-0.0002967251
5,23,0.1,0.4044044,0.0,-1.0,1.0,-0.0010708054,-1.004202e-10,0.0024652425,0.43200243,-0.010687135,0.0024652425,-0.000337623
5,24,0.1,0.3043043,0.0,-1.0,1.0,-0.000729929,-9.065539e-10,-0.0062877024,0.3186813,-0.038270563,-0.0062877024,-0.0003785215
5,25,0.1,0.2042042,0.0,-1.0,1.0,-0.00044832035,-6.386669e-09,-0.010787709,0.21045053,-0.050823327,-0.010787709,-0.0004194251
5,26,0.1,0.1041041,0.4103647,-0.9119215,1.0,-0.00027160475,-3.330236e-08,0.039909553,0.13102746,-0.03670112,-0.011572834,-0.0004603607
5,27,0.15,0.09309309,0.4894236,0.8720462,1.0,0.00034646745,7.686151e-08,-0.046198495,-0.10527652,-0.0073174746,-0.019376103,-8.089728e-08
5,28,0.15,0.1931932,0.0,1.0,1.0,6.0816186e-05,-3.321746e-11,-0.008359574,-0.052587673,-0.002378527,-0.008359574,-7.154339e-08
5,29,0.15,0.2932933,0.0,1.0,1.0,-0.00030711782,1.24163e-10,0.004417725,0.02678603,0.017781856,0.004417725,-6.275835e-08
5,30,0.15,0.3933934,0.0,1.0,1.0,-0.00063411565,1.2988e-10,0.013354488,0.112602234,0.04075408,0.013354488,-5.366637e-08
5,31,0.15,0.4934935,0.0,1.0,1.0,-0.00083312276,-2.308755e-10,0.015517549,0.17591554,0.04928495,0.015517549,-4.426376e-08
5,32,0.15,0.5935936,0.0,1.0,1.0,-0.0008818047,-1.846594e-10,0.011625712,0.19036107,0.035645343,0.011625712,-3.567392e-08
5,33,0.15,0.6936937,0.0,1.0,1.0,-0.0008164556,-5.621351e-11,0.004791517,0.14783224,0.008565703,0.004791517,-2.780282e-08
5,34,0.15,0.7937938,0.0,1.0,1.0,-0.0007027552,-2.688086e-10,-0.0017143327,0.06756238,-0.013228529,-0.0017143327,-2.02525e-08
5,35,0.15,0.8938939,0.39839074,0.9172158,1.0,-0.000604304,-1.285266e-10,-0.018203948,-0.0101817995,-0.015805954,-0.0059868232,-1.381166e-08
5,36,0.2,0.9089089,0.50664324,-0.8621558,1.0,0.00016698774,-6.387669e-08,-0.13646664,-0.7190895,-0.049280345,0.0068110228,0.0001315283
5,37,0.2,0.8088088,0.0,-1.0,1.0,0.00027376215,6.319544e-09,-0.005473273,-0.63150567,-0.07189681,-0.005473273,0.0001723693
5,38,0.2,0.7087087,0.0,-1.0,1.0,0.0003293794,1.02448e-09,-0.013518175,-0.52018505,-0.049689066,-0.013518175,0.0002132433
5,39,0.2,0.6086086,0.0,-1.0,1.0,0.00026062253,3.512256e-11,-0.008902164,-0.42117402,-0.0005806992,-0.008902164,0.0002541229
5,40,0.2,0.5085085,0.0,-1.0,1.0,0.00011166016,4.154645e-12,0.005954649,-0.35300067,0.04173409,0.005954649,0.0002950031
5,41,0.2,0.4084084,0.0,-1.0,1.0,2.0992273e-05,1.627506e-10,0.019171627,-0.3120576,0.053188115,0.019171627,0.0003358829
5,42,0.2,0.3083083,0.0,-1.0,1.0,0.00011075847,7.838232e-10,0.018976139,-0.28337783,0.035129625,0.018976139,0.0003767632
5,43,0.2,0.2082082,0.0,-1.0,1.0,0.00037747622,5.614491e-09,0.0036590453,-0.25640425,0.009018766,0.0036590453,0.0004176482
5,44,0.2,0.1081081,0.3870349,-0.9220651,1.0,0.0006767088,3.095161e-08,-0.04598157,-0.23292094,-0.003978432,-0.016384915,0.0004585624
5,45,0.25,0.08908909,0.52488863,0.8511709,1.0,0.00059255643,2.202849e-07,-0.028499944,-0.012771968,-0.010592445,-0.02141693,0.0009328235
5,46,0.25,0.1891892,0.0,1.0,1.0,0.00027422165,2.182908e-08,0.0076503605,-0.014971372,-0.008559576,0.0076503605,0.0008509237
5,47,0.25,0.2892893,0.0,1.0,1.0,2.64158e-05,4.15957e-09,0.02968804,-0.03787908,0.008965172,0.02968804,0.0007691296
5,48,0.25,0.3893894,0.0,1.0,1.0,5.282386e-05,1.272872e-09,0.025119392,-0.08779911,0.024912417,0.025119392,0.0006873561
5,49,0.25,0.4894895,0.0,1.0,1.0,0.0003100973,1.384246e-10,-0.003244116,-0.14659274,0.018005883,-0.003244116,0.0006055853
5,50,0.25,0.5895896,0.0,1.0,1.0,0.0005344787,7.526817e-10,-0.03198485,-0.17924516,-0.017192325,-0.03198485,0.0005238162
5,51,0.25,0.6896897,0.0,1.0,1.0,0.00045972836,2.960594e-09,-0.036224484,-0.1591982,-0.061772265,-0.036224484,0.0004420509
5,52,0.25,0.7897898,0.0,1.0,1.0,4.824229e-05,1.454845e-08,-0.010413693,-0.09174178,-0.084044494,-0.010413693,0.0003603003
5,53,0.25,0.8898899,-0.268305,-0.963334,1.0,-0.00045788748,6.930628e-08,-0.009206977,-0.015428446,-0.0631971,0.026478583,0.0002786201
5,54,0.03003003,0.0,-0.20874017,-0.97797114,1.0,-0.0007416193,2.282744e-08,0.024440028,0.11207825,0.0,0.02044745,-0.001207268
5,55,0.06006006,0.0,1.0,0.0,1.0,-0.00059680536,4.03585e-07,0.14441484,0.14441484,0.0,0.0075140893,-0.000904951
5,56,0.09009009,0.0,1.0,0.0,1.0,-0.00032575626,-6.956562e-07,0.12525886,0.12525886,0.0,-0.007135692,-0.0006027673
5,57,0.1201201,0.0,1.0,0.0,1.0,5.1704003e-05,-1.005648e-07,0.022985883,0.022985883,0.0,-0.018004242,-0.0003006581
5,58,0.1501502,0.0,1.0,0.0,1.0,0.00044642345,8.484624e-09,-0.122593105,-0.122593105,0.0,-0.023339147,1.419845e-06
5,59,0.1801802,0.0,1.0,0.0,1.0,0.00073420076,2.886434e-07,-0.2210473,-0.2210473,0.0,-0.025316084,0.0003034976
5,60,0.2102102,0.0,1.0,0.0,1.0,0.0008319359,7.187506e-07,-0.20018151,-0.20018151,0.0,-0.027385466,0.0006056111
5,61,0.2402402,0.0,1.0,0.0,1.0,0.0007578753,4.905593e-07,-0.06774154,-0.06774154,0.0,-0.031138863,0.0009077898
5,62,0.2702703,0.0,0.9221145,0.3869172,1.0,0.00062443316,-1.088018e-06,0.068134986,0.08633352,0.0,-0.035229195,0.001210108
5,63,0.3,0.02507508,-0.98321676,0.18244131,1.0,0.00055042625,1.419017e-06,0.14779404,0.1541183,-1.1901066e-10,-0.03588616,0.001478421
5,64,0.0,0.05015015,-0.99579304,0.09163061,1.0,-0.0007526855,9.096834e-06,0.0756218,0.076066546,0.0,0.023096923,-0.001447544
