x	y	z	Strain	u	v	w
5.045045e-02	5.045045e-02	0.000000e+00	-1.038037e-05	8.996976e-06	1.022215e-06	-3.581790e-04
1.000000e-01	1.000000e-01	0.000000e+00	-1.025796e-05	8.486259e-06	5.117520e-07	-1.697314e-04
1.495495e-01	1.495495e-01	0.000000e+00	-1.021958e-05	7.979040e-06	4.663324e-09	-1.442047e-06
2.000000e-01	2.000000e-01	0.000000e+00	-1.021164e-05	7.463831e-06	-5.107450e-07	1.492786e-04
2.495495e-01	2.495495e-01	0.000000e+00	-1.021184e-05	6.957931e-06	-1.016814e-06	2.770673e-04
2.504505e-01	3.495495e-01	0.000000e+00	1.021419e-05	5.936627e-06	-1.025791e-06	2.385406e-04
2.000000e-01	4.000000e-01	0.000000e+00	1.021286e-05	5.421317e-06	-5.105363e-07	1.084300e-04
1.504505e-01	4.495495e-01	0.000000e+00	1.021099e-05	4.915301e-06	-4.538918e-09	8.846328e-07
1.000000e-01	5.000000e-01	0.000000e+00	1.020146e-05	4.400413e-06	5.105076e-07	-8.801136e-05
5.045045e-02	5.495495e-01	0.000000e+00	1.017550e-05	3.895581e-06	1.015502e-06	-1.551033e-04
5.045045e-02	6.504505e-01	0.000000e+00	-1.019067e-05	2.869843e-06	1.011037e-06	-1.141884e-04
1.000000e-01	7.000000e-01	0.000000e+00	-1.017994e-05	2.365316e-06	5.057640e-07	-4.727643e-05
1.495495e-01	7.495495e-01	0.000000e+00	-1.001216e-05	1.863709e-06	4.538448e-09	-3.349537e-07
2.000000e-01	8.000000e-01	0.000000e+00	-9.338877e-06	1.371748e-06	-4.860056e-07	2.734269e-05
2.504505e-01	8.504505e-01	0.000000e+00	-7.902832e-06	9.183151e-07	-9.091528e-07	3.612357e-05
3.003003e-02	0.000000e+00	0.000000e+00	1.140185e-08	9.499499e-06	1.238309e-06	-4.566225e-04
6.006006e-02	0.000000e+00	0.000000e+00	2.017758e-07	9.491823e-06	9.253077e-07	-3.422534e-04
9.009009e-02	0.000000e+00	0.000000e+00	-3.478429e-07	9.489092e-06	6.151795e-07	-2.279507e-04
1.201201e-01	0.000000e+00	0.000000e+00	-5.029044e-08	9.487181e-06	3.069164e-07	-1.136853e-04
1.501502e-01	0.000000e+00	0.000000e+00	4.244182e-09	9.486806e-06	-1.303899e-09	5.645883e-07
